coach,unit,new_team,prior_stops,notes
# 2023-24 cycle: offensive play-callers moving into new FBS jobs for 2024. Researched
# 2026-07-15 (agent sweep, verified against school announcements/beat coverage; grades in
# notes; two prior-stop corrections applied from our verified coach_stints DB).
# prior_stops = seasons the coach ACTUALLY CALLED PLAYS. Single season: "Team:2023-2023".
# Run: python3 src/backtest.py --test-year 2024   (after quota reset; shares repo-root cache)
Chip Kelly,offense,Ohio State,"UCLA:2018-2023","CONFIRMED — Day gave up play-calling to Kelly for 2024 (first time in Day era); Kelly called his own plays as UCLA HC. Predecessor baseline clean (Day called all 2023). elevenwarriors.com 3/2024"
Collin Klein,offense,Texas A&M,"Kansas State:2022-2023","CONFIRMED — A&M bio: took over KSU play-calling in 2022; OC/caller under new defense-side HC Elko. Caveat: A&M 2023 baseline = Petrino (called all regular season despite Fisher's Nov firing — spot-check bowl). 12thman.com bio"
Mike Denbrock,offense,Notre Dame,"LSU:2022-2023","CONFIRMED — Brian Kelly on record that Denbrock called LSU's plays; ND coverage frames him replacing 'former Irish play caller Gerad Parker'. ND 2023 baseline clean (Parker full season). Cincinnati 2017-21 likely also his calls but unverified — omitted. si.com/lsu; espn.com"
Bush Hamdan,offense,Kentucky,"Washington:2018-2019; Boise State:2023-2023","CONFIRMED — UW play-caller 2018-19 (fired Dec 2019 over the offense); SI: 'returns to Boise State as play-caller' (2023); hired to call Kentucky's plays replacing Coen (clean full-2023 baseline). spokesman.com; si.com/washington"
Jeff Lebby,offense,Mississippi State,"Ole Miss:2020-2021; Oklahoma:2022-2023","CONFIRMED — HC who calls his own plays (AP 8/2024); Kiffin on record ceding Ole Miss calling to Lebby 2020-21; OU caller 2022-23. MSU 2023 baseline = Barbay (called all year despite Arnett firing). washingtontimes.com; si.com/olemiss"
Jeff Grimes,offense,Kansas,"BYU:2018-2020; Baylor:2021-2023","CONFIRMED — KSL: 'after three seasons as BYU's offensive play-caller'; 2024 KU beat coverage covers his in-game calling. KU 2023 baseline clean (Kotelnicki, regular season; 2023 bowl was Zebrowski — one-game noise). Matches our verified DB (Baylor 2021-23 LIKELY grade). ksl.com; heartlandcollegesports.com"
Jake Spavital,offense,Baylor,"Texas State:2020-2022","CONFIRMED — Baylor hired him to call while Aranda returned to defense; Texas State bio: 'called the offensive plays in 2022 for the third straight season' (2019 delegated, excluded). CORRECTED FROM OUR DB: agent listed Cal 2023 as a prior (VERIFY) but our verified coach_stints notes record his 2023 Cal role as QUALITY CONTROL, not caller — dropped. Baylor 2023 baseline clean (Grimes). baylorbears.com 11/30/2023; txst.com bio"
Kevin Barbay,offense,Houston,"Appalachian State:2022-2022; Mississippi State:2023-2023","CONFIRMED — ESPN/UH: 'held primary play-calling duties for all 11 games' of 2024 before Nov 26 firing (Bell called the finale — 2024 target includes ~1 non-Barbay game, note in writeup). espn.com; hailstate.com"
Jedd Fisch,offense,Washington,"Arizona:2021-2023","CONFIRMED — HC play-caller at both stops ('For 13 years I've called plays'); SI: 'Only Fisch Makes Offensive Calls'. Matches our Tier 3 verification (Arizona 2021-23 = Fisch, Carroll's OC title nominal). UW 2023 baseline clean (Grubb full season). si.com/washington; seattletimes.com"
Tim Beck,offense,Vanderbilt,"New Mexico State:2022-2023","CONFIRMED — 'former New Mexico State play-caller' brought scheme (and QB Pavia) to Vandy; Broyles semifinalist as Vandy caller 2024. Disambiguation: NOT Tim Beck b.1966 (Coastal HC). QB followed coach — roster confound to note. Vandy 2023 baseline = Lynch full season. 247sports.com; vucommodores.com"
Brian Lindgren,offense,Michigan State,"Oregon State:2018-2023","CONFIRMED — 'play caller for the past 15 seasons' (Smith); Rivals: 'has the responsibility of calling the plays' at OSU. Caveat: moved WITH HC Jonathan Smith — coach vs system partially confounded; MSU 2023 baseline = Jay Johnson (spot-check continuity through Tucker firing). rivals.com; si.com/michiganstate"
Drew Cronic,offense,Navy,"Mercer:2020-2023","FCS priors — public PBP thin. CONFIRMED new job — installs and calls his hybrid Wing-T at Navy 2024 (WaPo intro; PressBox). Mercer HC play-calling high-confidence but quote-level VERIFY. Navy 2023 baseline = Chesnut (one-and-done OC). washingtonpost.com 1/11/2024"
Zach Lujan,offense,Northwestern,"South Dakota State:2022-2023","FCS priors — public PBP thin. CONFIRMED — NU bio: 'Taking over play-calling duties in 2022' at SDSU (back-to-back FCS titles); called NU 2024 under defense-side HC Braun. NU 2023 baseline = Bajakian full season. nusports.com 2/19/2024"
Joe Craddock,offense,Tulane,"SMU:2017-2017; Arkansas:2018-2019; Troy:2022-2023","VERIFY — Troy 2022-23 calling confirmed ('with Craddock calling the plays'); SMU 2017 / Arkansas 2018-19 cited by profiles, need primary check; Tulane 2024 explicit 'calls plays' quote not located (Sumrall is defense-side). Tulane 2023 baseline = Nagle full season. atozsports.com; nola.com"
Sean Lewis,offense,San Diego State,"Kent State:2018-2022","VERIFY — HC mover; SDSU 2024 'takes on play-calling duties' sourced to secondary profile, confirm via beat coverage. TRIMMED: agent included Colorado 2023 as a prior but he called only games 1-8 there (Shurmur took over Nov 2023) and the backtest pools full seasons — dropped to avoid contamination. Kent State priors widely reported, quote-level check needed. SDSU 2023 baseline = Lindley full season. si.com 11/3/2023; goaztecs.com"
# --- excluded candidates, kept for the record ---
# Bobby Petrino,offense,Arkansas — strong priors but new-team 2023 baseline contaminated (Enos fired Oct 2023, Guiton interim)
# Andy Kotelnicki,offense,Penn State — new-team 2023 baseline contaminated (Yurcich fired Nov 2023, interim co-callers finished)
# Seth Littrell (OU), Joe Sloan (LSU), Dowell Loggains (SC), Conor Riley (KSU), Kirk Campbell (Mich), Mike Bloesch (Cal), Taylor Mouser (ISU), Gordon Sammis (UConn) — internal promotions
# Will Lawing (BC) — first-time caller; O'Brien involvement unresolved
# Nick Sheridan (Alabama) — 2024 play-calling split with DeBoer unresolved; Indiana priors unverified
# Eric Bieniemy (UCLA) — recent play-calling NFL-only
# Dirk Koetter (Boise State) — not an outside mover (interim OC/analyst there 2022-23); recent priors NFL
# Dino Babers (Arizona OC) — Syracuse HC play-calling attribution unresolved (largely delegated); consistent with our Tier 3 finding that he ceded Arizona calling at game 4
# Jonathan Smith (MSU HC) — not the caller (Lindgren was; captured via Lindgren row)
# Gerad Parker (Troy HC) — could not confirm he retained play-calling (hired OC Kubik)
# Jim Chaney (Georgia State), Chip Lindsey (UNC) — possible follow-ups; prior/new attribution unverified in this pass
